id,title,content.descriptiveNonRepeating.record_link,content.descriptiveNonRepeating.title.content,content.descriptiveNonRepeating.data_source,content.indexedStructured.date,content.indexedStructured.object_type,content.indexedStructured.name,content.indexedStructured.topic,content.indexedStructured.language,content.indexedStructured.place,content.freetext.date,content.indexedStructured.culture,content.indexedStructured.online_media_rights,content.indexedStructured.online_media_type,content.freetext.culture,content.freetext.publisher
ld1-1643414459528-1643414483539-1,Gerbillus nanus,http://n2t.net/ark:/65665/36f5ee152-5480-4dc1-b90b-e3075f509aaa,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '5 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483534-0,Gerbillus nanus,http://n2t.net/ark:/65665/379f59400-5c51-4004-b258-8cb6406e959d,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '5 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483529-1,Gerbillus nanus,http://n2t.net/ark:/65665/38169da82-a8ec-4c09-b55c-c140eab6cb98,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '6 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483530-0,Rattus rattus,http://n2t.net/ark:/65665/38dac1957-6ef8-47f8-b53d-c455230b28bf,Rattus rattus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '5 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Rattus rattus'}]"
ld1-1643414459528-1643414483583-0,Gerbillus nanus,http://n2t.net/ark:/65665/35b696c7a-434f-4124-9cfe-e6ba55ce6402,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '9 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483539-0,Gerbillus nanus,http://n2t.net/ark:/65665/365906dcf-30f3-44df-ba4d-d7152deef0fc,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '9 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483562-0,Gerbillus nanus,http://n2t.net/ark:/65665/36593eb38-19cd-42b0-8f5f-75c01c39b57e,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '9 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483553-0,Gerbillus nanus,http://n2t.net/ark:/65665/31e847abc-d823-40fc-9535-a6127bb26e4c,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '9 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483542-0,Gerbillus nanus,http://n2t.net/ark:/65665/392435dcb-d0ef-4769-b812-4f65f1897a1e,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '9 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
ld1-1643414459528-1643414483577-0,Gerbillus nanus,http://n2t.net/ark:/65665/3b6f450be-ed8b-4ec1-a9eb-93400a340896,Gerbillus nanus,NMNH - Vertebrate Zoology - Mammals Division,['2010s'],,,"['Animals', 'Mammals']",,"['Djibouti', 'Djibouti Region', 'Africa']","[{'label': 'Collection Date', 'content': '10 May 2014'}]",,,,,"[{'label': 'Published Name', 'content': 'Gerbillus nanus'}]"
